,freq,language
i,0.06937843506890051,da
v,0.023338555080583065,da
æ,0.0143376788890954,da
r,0.08282664684172795,da
e,0.13407057324164298,da
o,0.04526989352945862,da
g,0.04396888192655922,da
n,0.06868810238164777,da
d,0.053421129490481375,da
p,0.019873616015718343,da
å,0.005615590898229031,da
t,0.06554177840320739,da
l,0.058386214587260704,da
a,0.05534609563762844,da
f,0.02459973979767942,da
h,0.013049942914797016,da
m,0.03083928524015612,da
s,0.07186097761729018,da
k,0.041473063749568544,da
u,0.024015612139234793,da
b,0.0205772243315721,da
j,0.007195390701749728,da
y,0.009704484507341423,da
ø,0.010620502880811407,da
c,0.005150943897193532,da
w,0.0002256856862172424,da
é,9.29294002070998e-05,da
x,0.00017258317181318537,da
z,0.00034516634362637073,da
q,1.3275628601014258e-05,da
à,0.0,da
a,0.09777601980273819,fa
t,0.0584895308333227,fa
í,0.007336710346675514,fa
o,0.022035650032536717,fa
g,0.04157043879907621,fa
e,0.04001378025595549,fa
r,0.08775981524249422,fa
á,0.010552103402957652,fa
s,0.06044173376035114,fa
u,0.052926390466104395,fa
m,0.037206691079836166,fa
ð,0.029397879371722405,fa
v,0.02550623301392061,fa
i,0.09800569073532978,fa
l,0.05321985887997142,fa
k,0.038418843224069514,fa
f,0.020440713000650736,fa
y,0.0118663315172317,fa
h,0.012019445472292754,fa
n,0.09226391742054024,fa
j,0.011151799726946781,fa
ú,0.005920406262360762,fa
p,0.014252357316933128,fa
ó,0.010003445063988873,fa
d,0.024510992306023757,fa
ø,0.013142281142740485,fa
æ,0.005116557998290227,fa
b,0.013512306534138032,fa
ý,0.003572658951424598,fa
c,0.001097316677937555,fa
w,0.00022967093259158129,fa
x,7.65569775305271e-05,fa
ü,1.275949625508785e-05,fa
é,5.10379850203514e-05,fa
z,8.931647378561494e-05,fa
ö,0.0,fa
q,1.275949625508785e-05,fa
å,0.0,fa
a,0.09777601980273819,fi
t,0.0584895308333227,fi
í,0.007336710346675514,fi
o,0.022035650032536717,fi
g,0.04157043879907621,fi
e,0.04001378025595549,fi
r,0.08775981524249422,fi
á,0.010552103402957652,fi
s,0.06044173376035114,fi
u,0.052926390466104395,fi
m,0.037206691079836166,fi
ð,0.029397879371722405,fi
v,0.02550623301392061,fi
i,0.09800569073532978,fi
l,0.05321985887997142,fi
k,0.038418843224069514,fi
f,0.020440713000650736,fi
y,0.0118663315172317,fi
h,0.012019445472292754,fi
n,0.09226391742054024,fi
j,0.011151799726946781,fi
ú,0.005920406262360762,fi
p,0.014252357316933128,fi
ó,0.010003445063988873,fi
d,0.024510992306023757,fi
ø,0.013142281142740485,fi
æ,0.005116557998290227,fi
b,0.013512306534138032,fi
ý,0.003572658951424598,fi
c,0.001097316677937555,fi
w,0.00022967093259158129,fi
x,7.65569775305271e-05,fi
ü,1.275949625508785e-05,fi
é,5.10379850203514e-05,fi
z,8.931647378561494e-05,fi
ö,0.0,fi
q,1.275949625508785e-05,fi
å,0.0,fi
a,0.09777601980273819,is
t,0.0584895308333227,is
í,0.007336710346675514,is
o,0.022035650032536717,is
g,0.04157043879907621,is
e,0.04001378025595549,is
r,0.08775981524249422,is
á,0.010552103402957652,is
s,0.06044173376035114,is
u,0.052926390466104395,is
m,0.037206691079836166,is
ð,0.029397879371722405,is
v,0.02550623301392061,is
i,0.09800569073532978,is
l,0.05321985887997142,is
k,0.038418843224069514,is
f,0.020440713000650736,is
y,0.0118663315172317,is
h,0.012019445472292754,is
n,0.09226391742054024,is
j,0.011151799726946781,is
ú,0.005920406262360762,is
p,0.014252357316933128,is
ó,0.010003445063988873,is
d,0.024510992306023757,is
ø,0.013142281142740485,is
æ,0.005116557998290227,is
b,0.013512306534138032,is
ý,0.003572658951424598,is
c,0.001097316677937555,is
w,0.00022967093259158129,is
x,7.65569775305271e-05,is
ü,1.275949625508785e-05,is
é,5.10379850203514e-05,is
z,8.931647378561494e-05,is
ö,0.0,is
q,1.275949625508785e-05,is
å,0.0,is
a,0.09777601980273819,no
t,0.0584895308333227,no
í,0.007336710346675514,no
o,0.022035650032536717,no
g,0.04157043879907621,no
e,0.04001378025595549,no
r,0.08775981524249422,no
á,0.010552103402957652,no
s,0.06044173376035114,no
u,0.052926390466104395,no
m,0.037206691079836166,no
ð,0.029397879371722405,no
v,0.02550623301392061,no
i,0.09800569073532978,no
l,0.05321985887997142,no
k,0.038418843224069514,no
f,0.020440713000650736,no
y,0.0118663315172317,no
h,0.012019445472292754,no
n,0.09226391742054024,no
j,0.011151799726946781,no
ú,0.005920406262360762,no
p,0.014252357316933128,no
ó,0.010003445063988873,no
d,0.024510992306023757,no
ø,0.013142281142740485,no
æ,0.005116557998290227,no
b,0.013512306534138032,no
ý,0.003572658951424598,no
c,0.001097316677937555,no
w,0.00022967093259158129,no
x,7.65569775305271e-05,no
ü,1.275949625508785e-05,no
é,5.10379850203514e-05,no
z,8.931647378561494e-05,no
ö,0.0,no
q,1.275949625508785e-05,no
å,0.0,no
a,0.09777601980273819,sv
t,0.0584895308333227,sv
í,0.007336710346675514,sv
o,0.022035650032536717,sv
g,0.04157043879907621,sv
e,0.04001378025595549,sv
r,0.08775981524249422,sv
á,0.010552103402957652,sv
s,0.06044173376035114,sv
u,0.052926390466104395,sv
m,0.037206691079836166,sv
ð,0.029397879371722405,sv
v,0.02550623301392061,sv
i,0.09800569073532978,sv
l,0.05321985887997142,sv
k,0.038418843224069514,sv
f,0.020440713000650736,sv
y,0.0118663315172317,sv
h,0.012019445472292754,sv
n,0.09226391742054024,sv
j,0.011151799726946781,sv
ú,0.005920406262360762,sv
p,0.014252357316933128,sv
ó,0.010003445063988873,sv
d,0.024510992306023757,sv
ø,0.013142281142740485,sv
æ,0.005116557998290227,sv
b,0.013512306534138032,sv
ý,0.003572658951424598,sv
c,0.001097316677937555,sv
w,0.00022967093259158129,sv
x,7.65569775305271e-05,sv
ü,1.275949625508785e-05,sv
é,5.10379850203514e-05,sv
z,8.931647378561494e-05,sv
ö,0.0,sv
q,1.275949625508785e-05,sv
å,0.0,sv
